Posted Date;Letter Issue Date;Company Name;Issuing Office;Subject;Response Letter;Closeout Letter
07/25/2022;07/25/2022;Tiger Vapor, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/26/2022;07/08/2022;Custom Research Labs Inc.;Division of Pharmaceutical Quality Operations IV;CGMP/Finished Pharmaceuticals/Adulterated;;
07/26/2022;06/24/2022;Zhang Medical P.C. dba New Hope Fertility Center;Office of Biological Products Operations – Division 1;Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps);;
07/26/2022;07/05/2022;Bolive, Inc.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
07/26/2022;06/30/2022;Bi-Coastal Pharma International;Office of Pharmaceutical Quality Operations Division I;CGMP/Finished Pharmaceuticals/Adulterated;;
07/26/2022;07/14/2022;Daniel Fred Goodman, M.D./Goodman Eye Center;Center for Drug Evaluation and Research | CDER;Bioresearch Monitoring Program/Institutional Review Board (IRB);;
07/26/2022;07/15/2022;Blackout Vapors Inc.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/26/2022;07/15/2022;M & K On Cumberland, Inc. dba Big Cloud Vape & Tobacco;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/26/2022;07/18/2022;Jost Chemical Co.;Division of Pharmaceutical Quality Operations III;CGMP/Active Pharmaceutical Ingredient (API)/Adulterated;;
07/26/2022;07/20/2022;Guangzhou Orchard Aromatherapy & Skin Care Co., Ltd.;Center for Drug Evaluation and Research | CDER;Refusal to Provide Access to and Copying of Records;;
07/26/2022;07/21/2022;Jose Miguel Gutierrez Salas;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated/Failure to Register and List;;
07/26/2022;05/26/2022;Everyday Import & Export, Inc. dba Everyday Group LLC;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
08/02/2022;08/01/2022;Desert Vapors II Inc d/b/a Desert Vapors;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Simply Vapour LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Steamist Vape Supply;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;Yogi's Vape;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/02/2022;08/01/2022;LDSD Vapor LLC d/b/a AtascaVapes;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
